feedback,Category
"The only problem I have with the mouse is the fact that it's really not ergonomic at all, but that doesn't really matter. My problem is with the scroll wheel. for some reason the scrolling on macos is inverted, and when you try to fix it, the track pad becomes inverted. its so stupid really.",Negative
"The ads for the game are dangerous for me.
When I heard the brown noise it makes me not breath, and it stressed me out even more.
It's a problem for me, but I understand if it helps others.
Just not me.
I like white noise but the brown noise is kinda bad.
If someone has the same anxiety problems as me, it might be dangerous.",Negative with Suggestion
"I've been using this app for 4+ years now and it has become an integral part of my life. My mental health has improved since and meditating routinely became possible because of this app. I love the way it is setup for all background levels and has many other useful lifestyle improvement based aspects like better sleep, focus and movement. I would recommend this app to anyone who is looking to work on those things or even just trying to explore the fields of mindfulness and positive psychology and/or appreciate a well made app.",Positive
United Airlines' user-friendly website make booking flights and managing travel plans a breeze.,Positive
Content and videos are kind of outdated. To have an general idea about the topic it's ok although a bit long for that.,Negative
"I absolutely love the pomelo color. I was wanting a Stanley and the 30 oz was the perfect size. I love that it fits in my car cup holders. I carry this cup everywhere. It keeps my drinks cold all day, it's easy to clean, and great quality!",Positive
"Filed a report with Apple and Bank. 
Says in App Store, and on iPhone subscriptions as valid for one year but when trying to open premium or restore purchase options it just says to sign in with the Apple ID used to purchase… 
This is my one iPhone with one 20 year+ Apple ID. As someone who has purchased hundreds of apps, this is the first time none of the normal recovery steps work (as an IT Professional). 
Very disappointed.",Negative
"I downloaded this to try to find a free meditation app. There are so many subscriptions that I was hoping this free version would be decent. It's not. In the middle of meditating, and finally getting my body to relax, ADS start playing. Do you know how jarring that is to a nervous system? Listening to calm music and all of sudden loud ads playing! I understand that these apps if free sometimes will have ads.. but geeeeez let people finish listening to a 15 -30 min meditation that you advertise as FREE before playing ads. 
Sad that even something that is supposed to help the mental health of people is trying to first find a way to make money off of you",Negative with Suggestion
"Overbooked flight, do all hand luggage had to be checked resulting in missed connecting fight, wouldn't even talk about it, only responding “put the bag here",Negative
Is this Apple tag to put on my cats collar works great so I will stick with this product,Positive
Does what its made to do. Connects quickly and easy to change the battery. Would buy again.,Positive
"Great starter set for anyone getting into Lego's. Easy assembly, it's Lego. Very good capacity with room to store a lot more legos.",Positive
Now Spotify working on making it worse for the users...everyday,Negative
"My goal is to drink 60 oz of water a day and I've used the iron flask and the Stanley I much prefer the Stanley.in order to meet my goal of 60 oz I have to refill my tumbler three times a day so turning the lid is important it has to be easy with the iron flask it took 5 turns. the Stanley takes 3 turns to open and close the lids. I don't like the pop-off lids because it hurts my thumb and having to do this three times a day is not fun.  All those seals are waterproof.Water mixed with 5 drops of Cassia oil gives sweet cinnamonny taste to water. In the Iron Flask Tumbler, with the casia oil mixed with water I can taste a metal taste. The Stanley tumbler, I taste this sweet taste of casia oil and water, there's no metalic after taste.",Positive
"Unique application, what to share with you and unusual way to use the AirTag and that is to take a spare with you when you travel and have a rental car and attach it to the rental car keys that way when you misplaced the rental car keys, you have a prayer finding them if you lose rental car keys you can expect to pay hundreds of dollars For replacement",Positive
"The app was really good. But recently pushing lyrics behind a wall, no shuffling etc is affecting experience. Why all this is part of Premium? Also can't decide my own song sequence ? Is it an app from George Orwell's 1984? Wish, I could give it 0 star.",Negative with Suggestion
"Simply put, I paid United money I should never have spent with them.  I'll pay $100+ per ticket more to fly with anybody else in the future unless they finally communicate with me about the issues (not automated emails).1. Terrible, worst in my life, flight experience in June 2023.  Traveling with my family of 4.  I've flown hundreds of times and never had anything like it.2. Phone support has no authority to do - say - or help in any way, so a Supervisor gets on and says the same thing to fill out a form online and otherwise they can't help.  United takes no ownership. They solved the issue ""their way"" with a $200 credit (didn't ask for this) and won't communicate in any way otherwise. Waste of time. Waste of money.Waste of Father's Day 2023 dealing with this.My only request is reasonable, I think and so do the support reps who can't assist with it: I want a live person who cares about customers to call me and discuss my fair ask for not a full refund, but only a 1/2 refund.  Only the leg of departure.  Possible?  I doubt it with United.",Negative with Suggestion
Comfortable for walking and jogging.,Positive
Nice big storage bin. Lots of pieces. Lots of projects or room to expand your imagination. My seven year old son loved it.,Positive
My son has had fun building all of the various builds found in the instructions.,Positive
"I hate United airlines, first time flying with them and last. Over 3 hour delay for things they supposedly take care of when we are waiting to board like freaking fuel! Then having to deplane after boarding then board again. Then FINALLY made it to the worst airport Birmingham,Alabama airport! We waited almost 2 hours for our luggage to come down because they said they were short staff,if they were short staff then at least allow us to get our fam bags so we can go. My foot is swollen from standing long periods, the United baggage person disappeared and didn't come bck bc of all the complaints. They were elderly people, pregnant women and others like myself with health problems and no chair to sit, no customer service support and my husband called and was told they always do stuff like that, the f…k! Who cares you are short staff just give us our dam luggage. Birmingham Alabama airport with United airlines you are taking a chance on something happening. Hell they might forget their dam pilot! The worst experience in my life with flying and I fly very often. Never United because they ain't uniting anyone or thing, United airlines is the absolute Worst. Please consider anyone but them when traveling unless you don't mind people wasting a lot of your time. They could of offer to send us our luggage or something besides they awful service they provide,",Negative with Suggestion
"Calm is the most helpful app I've had in a long time! It helps me get rid of any stress in general. I love yoga and meditating, so this app seemed perfect for me. We got the app and it has done nothing but make my life easier ever since the day I got it. I love it's so much! I definitely recommend it!",Positive
Surprisingly comprehensive and detailed overview of basic and advanced Google Adwords capabilities from an online course.,Positive
